scoring_method,domain,trial_type,ci_width_proportion_mean,variance,ci_width_proportion_mean_logit
*D* scores bootstrapped CIs,Gender (2),tt4,0.5544699068244775,2.9151669383189173e-5,0.2187477406421313
*D* scores bootstrapped CIs,Lincoln-Hitler,tt1,0.4289945182296457,6.92071348131785e-5,-0.28595466908136796
*D* scores bootstrapped CIs,Lincoln-Hitler,tt2,0.4321184496570942,5.6655557313322206e-5,-0.27321311916314356
*D* scores bootstrapped CIs,Lincoln-Hitler,tt3,0.399660828468168,4.6751904667887484e-5,-0.40687852280524595
*D* scores bootstrapped CIs,Lincoln-Hitler,tt4,0.39453610515316506,4.907073492299492e-5,-0.42828427515714684
*D* scores bootstrapped CIs,Personality - Agreeableness,tt1,0.504237009787821,1.6846063511977505e-4,0.016948444842722062
*D* scores bootstrapped CIs,Personality - Agreeableness,tt2,0.5321214870498779,8.409823613933734e-5,0.1286631478824722
*D* scores bootstrapped CIs,Personality - Agreeableness,tt3,0.4421855491015688,1.0758567191724701e-4,-0.23229679347475113
*D* scores bootstrapped CIs,Personality - Agreeableness,tt4,0.4538168078940611,6.047868846471636e-5,-0.18526082638003372
*D* scores bootstrapped CIs,Personality - Conscientiousness,tt1,0.4670763466427858,1.765208887166242e-4,-0.13188544694408252
*D* scores bootstrapped CIs,Personality - Conscientiousness,tt2,0.5954389253358325,6.047576186824928e-5,0.38649611008050916
*D* scores bootstrapped CIs,Personality - Conscientiousness,tt3,0.47858649165336326,4.1635317478429895e-5,-0.08570645863656574
*D* scores bootstrapped CIs,Personality - Conscientiousness,tt4,0.5009537578057546,3.4679313590670444e-5,0.003815035850172807
*D* scores bootstrapped CIs,Personality - Extraversion,tt1,0.5539815499165093,1.6252666941938423e-4,0.216771063728271
*D* scores bootstrapped CIs,Personality - Extraversion,tt2,0.5152284263959391,1.0698520024642832e-4,0.06093255099515773
*D* scores bootstrapped CIs,Personality - Extraversion,tt3,0.4831978319783198,1.7503186818946287e-4,-0.06723398773727862
*D* scores bootstrapped CIs,Personality - Extraversion,tt4,0.5656838656838657,8.429900053057304e-5,0.26426269195184315
*D* scores bootstrapped CIs,Personality - Neuroticism,tt1,0.5166066049913942,2.0114078850203454e-4,0.06645086152282537
*D* scores bootstrapped CIs,Personality - Neuroticism,tt2,0.5134559120258273,6.4165836617237e-5,0.05383664761154437
*D* scores bootstrapped CIs,Personality - Neuroticism,tt3,0.5250503391267486,1.6227119282014792e-4,0.10028532073626552
*D* scores bootstrapped CIs,Personality - Neuroticism,tt4,0.481951480904131,5.33073900726745e-5,-0.07222545712210483
*D* scores bootstrapped CIs,Personality - Openness,tt1,0.5231199959460828,1.502882108327879e-4,0.09254598009093508
*D* scores bootstrapped CIs,Personality - Openness,tt2,0.526473666743254,6.36591100976197e-5,0.10599378950254955
*D* scores bootstrapped CIs,Personality - Openness,tt3,0.5616409276654462,4.19300006264599e-5,0.24782435257870117
*D* scores bootstrapped CIs,Personality - Openness,tt4,0.47275235424219625,1.1086398421734392e-4,-0.10909866679988367
*D* scores bootstrapped CIs,Race (1),tt1,0.4745452165946865,1.0451444846421174e-4,-0.10190723506606589
*D* scores bootstrapped CIs,Race (1),tt2,0.5395738203957382,4.257842108639826e-5,0.15862706850128597
*D* scores bootstrapped CIs,Race (1),tt3,0.5068361894232541,1.0746270848239354e-4,0.027346461771945715
*D* scores bootstrapped CIs,Race (1),tt4,0.5432679738562092,5.6263452347579546e-5,0.1735058615251163
*D* scores bootstrapped CIs,Race (2),tt1,0.3577299487728419,1.876068737380284e-4,-0.5852304870746516
*D* scores bootstrapped CIs,Race (2),tt2,0.45332566168009203,1.6084855830681785e-4,-0.18724249840939886
*D* scores bootstrapped CIs,Race (2),tt3,0.4914568571284989,2.1678600130727485e-4,-0.03417589752868788
*D* scores bootstrapped CIs,Race (2),tt4,0.47960906155201094,2.2229008673951722e-4,-0.0816090168663394
*D* scores bootstrapped CIs,Religion,tt1,0.5171458520515124,2.0634225809679327e-4,0.06861031007859553
*D* scores bootstrapped CIs,Religion,tt2,0.5722709776751347,1.0953003444656752e-4,0.2911227467319761
*D* scores bootstrapped CIs,Religion,tt3,0.45578179989944695,1.0954007551928978e-4,-0.17733608356162173
*D* scores bootstrapped CIs,Religion,tt4,0.524671803652968,1.7583929459073777e-4,0.09876742608991923
*D* scores bootstrapped CIs,Rich-Poor,tt1,0.5307199669455636,7.57575959462053e-5,0.12303483725085967
*D* scores bootstrapped CIs,Rich-Poor,tt2,0.47046436188325536,2.4448050822602014e-5,-0.11828025704545408
*D* scores bootstrapped CIs,Rich-Poor,tt3,0.5469752663385459,5.165438483672166e-5,0.1884568607816204
*D* scores bootstrapped CIs,Rich-Poor,tt4,0.5127810979580891,2.7941366022782445e-5,0.05113553153329829
*D* scores bootstrapped CIs,Sexuality (1),tt1,0.43418721393769377,1.7074520253281583e-4,-0.2647874472056661
*D* scores bootstrapped CIs,Sexuality (1),tt2,0.5079848209344612,6.338523384543456e-5,0.03194199930616348
*D* scores bootstrapped CIs,Sexuality (1),tt3,0.4141568308234975,1.2923684745689906e-4,-0.3468074038602625
*D* scores bootstrapped CIs,Sexuality (1),tt4,0.4757849096047385,7.331856433709824e-5,-0.09693619642274351
*D* scores bootstrapped CIs,Sexuality (2),tt1,0.39490584258812167,3.682471727880945e-4,-0.4267367147160866
*D* scores bootstrapped CIs,Sexuality (2),tt2,0.3884820088250011,1.0623815862222089e-4,-0.4536975166716372
*D* scores bootstrapped CIs,Sexuality (2),tt3,0.36033336070284916,1.3298597135191117e-4,-0.5739175596252369
*D* scores bootstrapped CIs,Sexuality (2),tt4,0.4252659512558486,1.0851330566336872e-4,-0.30119266900265557
*D* scores bootstrapped CIs,Shapes & colors (1),tt1,0.7149833637436943,0.001968908683773629,0.9197117235378128
*D* scores bootstrapped CIs,Shapes & colors (1),tt2,0.6232530614102973,8.7753186080515e-4,0.5033789227683227
*D* scores bootstrapped CIs,Shapes & colors (1),tt3,0.5710955710955711,3.787501071467107e-4,0.2863224529357412
*D* scores bootstrapped CIs,Shapes & colors (1),tt4,0.600971875806313,1.1304293621029556e-4,0.4095162366701208
*D* scores bootstrapped CIs,Shapes & colors (2),tt1,0.4912840136054421,6.253954836847812e-4,-0.034867477633992804
*D* scores bootstrapped CIs,Shapes & colors (2),tt2,0.6181513409961685,6.42428393349089e-4,0.48170896633269206
*D* scores bootstrapped CIs,Shapes & colors (2),tt3,0.7260081823495033,5.160665134615794e-4,0.9744630418624
*D* scores bootstrapped CIs,Shapes & colors (2),tt4,0.6655657823497564,6.148912533078136e-4,0.6881972779714419
*D* scores bootstrapped CIs,Shapes & colors (3),tt1,0.6637214137214137,4.095931850609606e-4,0.6799225615316387
*D* scores bootstrapped CIs,Shapes & colors (3),tt2,0.5685968819599109,1.5167142579209e-4,0.2761287538344878
*D* scores bootstrapped CIs,Shapes & colors (3),tt3,0.5205790645879732,5.679295021133603e-4,0.08236278666885857
*D* scores bootstrapped CIs,Shapes & colors (3),tt4,0.5160973526900086,1.6449839557338517e-4,0.0644116711265085
*D* scores bootstrapped CIs,Shapes & colors (4),tt1,0.5661309523809525,6.57267877389051e-4,0.26608266110017287
*D* scores bootstrapped CIs,Shapes & colors (4),tt2,0.6286205203730977,3.925295629287253e-4,0.5263033724111693
*D* scores bootstrapped CIs,Shapes & colors (4),tt3,0.6905447878470403,3.5044880693103203e-4,0.802667462343562
*D* scores bootstrapped CIs,Shapes & colors (4),tt4,0.5789412852519649,0.001203930014253748,0.318428776349053
*D* scores bootstrapped CIs,Shapes & colors (5),tt1,0.5528703542139243,6.735244192044618e-4,0.21227494531690802
*D* scores bootstrapped CIs,Shapes & colors (5),tt2,0.6051847959362411,1.119769182593625e-4,0.42711604160204897
*D* scores bootstrapped CIs,Shapes & colors (5),tt3,0.5912584251191847,2.260161563073526e-4,0.3691700792910005
*D* scores bootstrapped CIs,Shapes & colors (5),tt4,0.6302574618364092,1.821885328327442e-4,0.5333214848583152
*D* scores bootstrapped CIs,Shapes & colors (6),tt1,0.5430555555555555,1.939590587738736e-4,0.17264980921999376
*D* scores bootstrapped CIs,Shapes & colors (6),tt2,0.5845129668239512,1.5324703494618933e-4,0.3413275590888442
*D* scores bootstrapped CIs,Shapes & colors (6),tt3,0.5863469554993408,8.297350883516491e-5,0.3488841229034454
*D* scores bootstrapped CIs,Shapes & colors (6),tt4,0.541954801454338,2.0521803856578648e-4,0.16821473978577348
*D* scores bootstrapped CIs,Shapes & colors (7),tt1,0.5608954998489882,0.0013354196401324369,0.24479718729831418
*D* scores bootstrapped CIs,Shapes & colors (7),tt2,0.6682974559686888,2.7636524883521994e-4,0.7004947521903399
*D* scores bootstrapped CIs,Shapes & colors (7),tt3,0.5789873417721518,4.597959963446263e-4,0.31861771482985324
*D* scores bootstrapped CIs,Shapes & colors (7),tt4,0.4707427088482451,3.632237929773984e-4,-0.1171630072611042
*D* scores bootstrapped CIs,Stigma - ADHD,tt1,0.4289176090468498,9.045400735241352e-5,-0.2862686446546337
*D* scores bootstrapped CIs,Stigma - ADHD,tt2,0.480901132779907,2.8530500908351337e-5,-0.07643265680867814
*D* scores bootstrapped CIs,Stigma - ADHD,tt3,0.5156179538826925,8.995981145162635e-5,0.062492144973737465
*D* scores bootstrapped CIs,Stigma - ADHD,tt4,0.4894504665302628,3.2470049405825005e-5,-0.042204397341907396
*D* scores bootstrapped CIs,Stigma - PTSD,tt1,0.4506255144032922,8.797318888022963e-5,-0.19814368252473755
*D* scores bootstrapped CIs,Stigma - PTSD,tt2,0.4809945863867433,3.626873780187377e-5,-0.0760582988363382
*D* scores bootstrapped CIs,Stigma - PTSD,tt3,0.4381703703703704,3.3244511737453745e-5,-0.2485908456149691
*D* scores bootstrapped CIs,Stigma - PTSD,tt4,0.4683476143653134,4.6447710837232125e-5,-0.1267790793733339
*D* scores bootstrapped CIs,Stigma - Schizophrenia,tt1,0.5571090271857535,5.040051040139232e-5,0.22943733205697958
*D* scores bootstrapped CIs,Stigma - Schizophrenia,tt2,0.4766342978903365,5.7284504718543715e-5,-0.0935309331701804
*D* scores bootstrapped CIs,Stigma - Schizophrenia,tt3,0.47516778523489933,8.902366190179825e-5,-0.099410646851591275
*D* scores bootstrapped CIs,Stigma - Schizophrenia,tt4,0.47723985503713456,2.3963271688202857e-5,-0.09110353977669276
*D* scores bootstrapped CIs,Valenced words,tt1,0.41888857420294545,2.5750372044301017e-4,-0.3273375693812685
*D* scores bootstrapped CIs,Valenced words,tt2,0.4752081368166345,1.2035296507629063e-4,-0.09924884207234635
*D* scores bootstrapped CIs,Valenced words,tt3,0.48685441567588594,1.0871958861307113e-4,-0.05259445774195027
*D* scores bootstrapped CIs,Valenced words,tt4,0.4317855837106617,9.391735929393205e-5,-0.27456970992904445
*D* scores SEM CIs,Body image,tt1,0.45486111111111116,1e-4,-0.18104848214715633
*D* scores SEM CIs,Body image,tt2,0.5096525096525097,1e-4,0.03861483612777994
*D* scores SEM CIs,Body image,tt3,0.4600760456273764,1e-4,-0.16003651200451954
*D* scores SEM CIs,Body image,tt4,0.45126353790613727,1e-4,-0.19556678354397491
*D* scores SEM CIs,Clinton-Trump,tt1,0.449438202247191,1e-4,-0.20294084399669043
*D* scores SEM CIs,Clinton-Trump,tt2,0.41455696202531644,1e-4,-0.3451585018771733
*D* scores SEM CIs,Clinton-Trump,tt3,0.40192926045016075,1e-4,-0.39743293641090016
*D* scores SEM CIs,Clinton-Trump,tt4,0.4222972972972973,1e-4,-0.31334981920035854
*D* scores SEM CIs,Countries (1),tt1,0.43749999999999994,1e-4,-0.2513144282809062
*D* scores SEM CIs,Countries (1),tt2,0.4905660377358491,1e-4,-0.03774032798284674
*D* scores SEM CIs,Countries (1),tt3,0.46715328467153283,1e-4,-0.13157635778871932
*D* scores SEM CIs,Countries (1),tt4,0.4809160305343511,1e-4,-0.0763729787845741
*D* scores SEM CIs,Countries (2),tt1,0.42574257425742573,1e-4,-0.299242894852857
*D* scores SEM CIs,Countries (2),tt2,0.41137123745819393,1e-4,-0.35829963966573447
*D* scores SEM CIs,Countries (2),tt3,0.4326241134751773,1e-4,-0.2711527705005703
*D* scores SEM CIs,Countries (2),tt4,0.453924914675768,1e-4,-0.18482468701207283
*D* scores SEM CIs,Death (1),tt1,0.516279069767442,1e-4,0.06513930217096187
*D* scores SEM CIs,Death (1),tt2,0.5189873417721519,1e-4,0.07598590697792205
*D* scores SEM CIs,Death (1),tt3,0.40959409594095947,1e-4,-0.36564361392149264
*D* scores SEM CIs,Death (1),tt4,0.4483985765124555,1e-4,-0.20714320996776867
*D* scores SEM CIs,Death (2),tt1,0.48192771084337344,1e-4,-0.07232066157962626
*D* scores SEM CIs,Death (2),tt2,0.42160278745644597,1e-4,-0.3161972427598022
*D* scores SEM CIs,Death (2),tt3,0.5,1e-4,0
*D* scores SEM CIs,Death (2),tt4,0.4280936454849498,1e-4,-0.2896332925830427
*D* scores SEM CIs,Death (3),tt1,0.4723404255319149,1e-4,-0.11075136429270263
*D* scores SEM CIs,Death (3),tt2,0.38125,1e-4,-0.4842459859612787
*D* scores SEM CIs,Death (3),tt3,0.47211895910780666,1e-4,-0.11163997114266955
*D* scores SEM CIs,Death (3),tt4,0.4039087947882736,1e-4,-0.3892045872363843
*D* scores SEM CIs,Disgust (1),tt1,0.4886877828054299,1e-4,-0.04525659158812072
*D* scores SEM CIs,Disgust (1),tt2,0.4666666666666667,1e-4,-0.13353139262452263
*D* scores SEM CIs,Disgust (1),tt3,0.3715277777777778,1e-4,-0.5256681968039195
*D* scores SEM CIs,Disgust (1),tt4,0.42241379310344823,1e-4,-0.31287232128033976
*D* scores SEM CIs,Disgust (2),tt1,0.3987538940809969,1e-4,-0.4106599249852684
*D* scores SEM CIs,Disgust (2),tt2,0.44366197183098594,1e-4,-0.22631312607548862
*D* scores SEM CIs,Disgust (2),tt3,0.40924092409240925,1e-4,-0.3671042402357181
*D* scores SEM CIs,Disgust (2),tt4,0.41877256317689526,1e-4,-0.32781417387809847
*D* scores SEM CIs,Friend-Enemy,tt1,0.36363636363636365,1e-4,-0.5596157879354225
*D* scores SEM CIs,Friend-Enemy,tt2,0.4322344322344322,1e-4,-0.27274049245358195
*D* scores SEM CIs,Friend-Enemy,tt3,0.46875,1e-4,-0.12516314295400605
*D* scores SEM CIs,Friend-Enemy,tt4,0.4244604316546762,1e-4,-0.30448919076816255
*D* scores SEM CIs,Gender (1),tt1,0.46428571428571436,1e-4,-0.1431008436406729
*D* scores SEM CIs,Gender (1),tt2,0.4824902723735408,1e-4,-0.07006756261671708
*D* scores SEM CIs,Gender (1),tt3,0.4425087108013937,1e-4,-0.23098672877523585
*D* scores SEM CIs,Gender (1),tt4,0.45353159851301117,1e-4,-0.18641154204547972
*D* scores SEM CIs,Gender (2),tt1,0.40066225165562913,1e-4,-0.40270648566908473
*D* scores SEM CIs,Gender (2),tt2,0.4357142857142857,1e-4,-0.25857398829371026
*D* scores SEM CIs,Gender (2),tt3,0.4452554744525547,1e-4,-0.2198594761130199
*D* scores SEM CIs,Gender (2),tt4,0.46043165467625896,1e-4,-0.15860503017663866
*D* scores SEM CIs,Lincoln-Hitler,tt1,0.384083044982699,1e-4,-0.4722533489797507
*D* scores SEM CIs,Lincoln-Hitler,tt2,0.39501779359430617,1e-4,-0.4262682357379271
*D* scores SEM CIs,Lincoln-Hitler,tt3,0.34365325077399383,1e-4,-0.6470560733596782
*D* scores SEM CIs,Lincoln-Hitler,tt4,0.3498452012383901,1e-4,-0.6197197120051282
*D* scores SEM CIs,Personality - Agreeableness,tt1,0.4484126984126984,1e-4,-0.2070861144183514
*D* scores SEM CIs,Personality - Agreeableness,tt2,0.47950819672131145,1e-4,-0.08201315166083513
*D* scores SEM CIs,Personality - Agreeableness,tt3,0.34818941504178275,1e-4,-0.6270073780554001
*D* scores SEM CIs,Personality - Agreeableness,tt4,0.39209726443769,1e-4,-0.43850496218636453
*D* scores SEM CIs,Personality - Conscientiousness,tt1,0.4208633093525179,1e-4,-0.3192304301867071
*D* scores SEM CIs,Personality - Conscientiousness,tt2,0.5286343612334802,1e-4,0.11466290832013973
*D* scores SEM CIs,Personality - Conscientiousness,tt3,0.4147909967845659,1e-4,-0.34419428271512337
*D* scores SEM CIs,Personality - Conscientiousness,tt4,0.4178082191780822,1e-4,-0.3317773923170052
*D* scores SEM CIs,Personality - Extraversion,tt1,0.47154471544715443,1e-4,-0.11394425934921809
*D* scores SEM CIs,Personality - Extraversion,tt2,0.4366197183098592,1e-4,-0.25489224962878987
*D* scores SEM CIs,Personality - Extraversion,tt3,0.43430656934306566,1e-4,-0.26430162380771743
*D* scores SEM CIs,Personality - Extraversion,tt4,0.49797570850202433,1e-4,-0.00809721023261925
*D* scores SEM CIs,Personality - Neuroticism,tt1,0.48262548262548266,1e-4,-0.0695260626486101
*D* scores SEM CIs,Personality - Neuroticism,tt2,0.44569288389513106,1e-4,-0.2180887806525858
*D* scores SEM CIs,Personality - Neuroticism,tt3,0.44404332129963897,1e-4,-0.22476824704121168
*D* scores SEM CIs,Personality - Neuroticism,tt4,0.4295081967213115,1e-4,-0.2838579760133775
*D* scores SEM CIs,Personality - Openness,tt1,0.4509090909090909,1e-4,-0.19699827120988736
*D* scores SEM CIs,Personality - Openness,tt2,0.45390070921985815,1e-4,-0.18492233849401207
*D* scores SEM CIs,Personality - Openness,tt3,0.45488721804511273,1e-4,-0.18094319682383359
*D* scores SEM CIs,Personality - Openness,tt4,0.3878205128205128,1e-4,-0.45648288244988905
*D* scores SEM CIs,Race (1),tt1,0.39354838709677425,1e-4,-0.4324209180966925
*D* scores SEM CIs,Race (1),tt2,0.4612546125461255,1e-4,-0.15529288440603534
*D* scores SEM CIs,Race (1),tt3,0.4671814671814672,1e-4,-0.1314631395604637
*D* scores SEM CIs,Race (1),tt4,0.4705882352941177,1e-4,-0.11778303565638314
*D* scores SEM CIs,Race (2),tt1,0.3372093023255814,1e-4,-0.6757554378480762
*D* scores SEM CIs,Race (2),tt2,0.4368932038834951,1e-4,-0.2537805207760996
*D* scores SEM CIs,Race (2),tt3,0.4739583333333333,1e-4,-0.10426101032440963
*D* scores SEM CIs,Race (2),tt4,0.4545454545454546,1e-4,-0.18232155679395445
*D* scores SEM CIs,Religion,tt1,0.44855967078189307,1e-4,-0.20649191772176737
*D* scores SEM CIs,Religion,tt2,0.5019607843137255,1e-4,0.007843177461025879
*D* scores SEM CIs,Religion,tt3,0.39933993399339934,1e-4,-0.40821614148005414
*D* scores SEM CIs,Religion,tt4,0.48484848484848486,1e-4,-0.060624621816434736
*D* scores SEM CIs,Rich-Poor,tt1,0.45620437956204374,1e-4,-0.17563256864315827
*D* scores SEM CIs,Rich-Poor,tt2,0.41479099678456594,1e-4,-0.34419428271512303
*D* scores SEM CIs,Rich-Poor,tt3,0.45517241379310347,1e-4,-0.17979311044059582
*D* scores SEM CIs,Rich-Poor,tt4,0.4375,1e-4,-0.25131442828090605
*D* scores SEM CIs,Sexuality (1),tt1,0.3914893617021277,1e-4,-0.44105605321086666
*D* scores SEM CIs,Sexuality (1),tt2,0.4672897196261682,1e-4,-0.13102826240640403
*D* scores SEM CIs,Sexuality (1),tt3,0.3612167300380228,1e-4,-0.5700870878027181
*D* scores SEM CIs,Sexuality (1),tt4,0.4434389140271493,1e-4,-0.2272168767018457
*D* scores SEM CIs,Sexuality (2),tt1,0.3415637860082304,1e-4,-0.6563332074372293
*D* scores SEM CIs,Sexuality (2),tt2,0.3488372093023256,1e-4,-0.6241543090729939
*D* scores SEM CIs,Sexuality (2),tt3,0.31228070175438594,1e-4,-0.7894782894983775
*D* scores SEM CIs,Sexuality (2),tt4,0.38152610441767065,1e-4,-0.4830757108130884
*D* scores SEM CIs,Shapes & colors (1),tt1,0.5789473684210527,1e-4,0.31845373111853476
*D* scores SEM CIs,Shapes & colors (1),tt2,0.538135593220339,1e-4,0.1528392042294477
*D* scores SEM CIs,Shapes & colors (1),tt3,0.528,1e-4,0.11211729812070621
*D* scores SEM CIs,Shapes & colors (1),tt4,0.5303643724696357,1e-4,0.12160713209478738
*D* scores SEM CIs,Shapes & colors (2),tt1,0.4115523465703971,1e-4,-0.3575517524122671
*D* scores SEM CIs,Shapes & colors (2),tt2,0.5378486055776893,1e-4,0.15168458733206514
*D* scores SEM CIs,Shapes & colors (2),tt3,0.615819209039548,1e-4,0.47184017705303694
*D* scores SEM CIs,Shapes & colors (2),tt4,0.5380710659898477,1e-4,0.15257958759521698
*D* scores SEM CIs,Shapes & colors (3),tt1,0.5518867924528301,1e-4,0.20829704319721495
*D* scores SEM CIs,Shapes & colors (3),tt2,0.4844961240310077,1e-4,-0.06203539091945275
*D* scores SEM CIs,Shapes & colors (3),tt3,0.4545454545454546,1e-4,-0.18232155679395445
*D* scores SEM CIs,Shapes & colors (3),tt4,0.4545454545454546,1e-4,-0.18232155679395445
*D* scores SEM CIs,Shapes & colors (4),tt1,0.4701195219123506,1e-4,-0.11966450375608893
*D* scores SEM CIs,Shapes & colors (4),tt2,0.5254237288135594,1e-4,0.10178269430994258
*D* scores SEM CIs,Shapes & colors (4),tt3,0.5906735751295337,1e-4,0.3667505959274739
*D* scores SEM CIs,Shapes & colors (4),tt4,0.45864661654135336,1e-4,-0.16579225484274407
*D* scores SEM CIs,Shapes & colors (5),tt1,0.48927038626609437,1e-4,-0.04292504471703423
*D* scores SEM CIs,Shapes & colors (5),tt2,0.5138339920948616,1e-4,0.05535009508316469
*D* scores SEM CIs,Shapes & colors (5),tt3,0.502008032128514,1e-4,0.008032171697263812
*D* scores SEM CIs,Shapes & colors (5),tt4,0.5721153846153846,1e-4,0.2904871233793893
*D* scores SEM CIs,Shapes & colors (6),tt1,0.46382978723404256,1e-4,-0.14493402472233424
*D* scores SEM CIs,Shapes & colors (6),tt2,0.5404255319148936,1e-4,0.16205585933437167
*D* scores SEM CIs,Shapes & colors (6),tt3,0.5193798449612403,1e-4,0.07755823434587464
*D* scores SEM CIs,Shapes & colors (6),tt4,0.5,1e-4,0
*D* scores SEM CIs,Shapes & colors (7),tt1,0.5271739130434783,1e-4,0.10880285984879917
*D* scores SEM CIs,Shapes & colors (7),tt2,0.5925925925925926,1e-4,0.3746934494414106
*D* scores SEM CIs,Shapes & colors (7),tt3,0.51,1e-4,0.040005334613699206
*D* scores SEM CIs,Shapes & colors (7),tt4,0.4296875000000001,1e-4,-0.2831262559159198
*D* scores SEM CIs,Stigma - ADHD,tt1,0.37800687285223367,1e-4,-0.4980166654734095
